CODUSU,nro_hogar,ch03,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,cat_ocup,pp03c,pp03i,pp10a,p21,tot_p12,t_vi,itf,ch12,ch13,ch14,pp3e_tot,pp3f_tot,df,rango_edad,adulto_esquiv,ID_hogar,ad_equiv_hogar,ingreso_necesario,pobre
287872  ,1.0,3.0,1.0,24.0,1.0,4.0,2.0,3.0,4.0,240.0,,,,,,,,1200.0,2.0,1.0,  ,0.0,0.0,T105,18 a 29 años,1.02,287872  -1.0,4.23,867.4461000000001,0
287872  ,1.0,4.0,1.0,21.0,1.0,4.0,3.0,1.0,,240.0,3.0,1.0,2.0,,400.0,,,1200.0,4.0,2.0,01,40.0,0.0,T105,18 a 29 años,1.02,287872  -1.0,4.23,867.4461000000001,0
287872  ,1.0,5.0,2.0,6.0,5.0,1.0,1.0,4.0,3.0,240.0,,,,,,,,1200.0,3.0,2.0,00,0.0,0.0,T105,6 años,0.64,287872  -1.0,4.23,867.4461000000001,0
287872  ,1.0,5.0,1.0,4.0,5.0,1.0,7.0,4.0,5.0,240.0,,,,,,,,1200.0,1.0,2.0,00,0.0,0.0,T105,4 años,0.55,287872  -1.0,4.23,867.4461000000001,0
288288  ,1.0,1.0,2.0,55.0,3.0,4.0,3.0,1.0,,172.5,3.0,1.0,2.0,,150.0,,,345.0,4.0,2.0,01,25.0,0.0,T105,46 a 60 años,0.76,288288  -1.0,1.76,360.9232,1
288288  ,1.0,3.0,1.0,33.0,5.0,4.0,3.0,2.0,,172.5,2.0,,,1.0,,120.0,,345.0,4.0,2.0,01,0.0,0.0,T105,30 a 45 años,1.0,288288  -1.0,1.76,360.9232,1
125029  ,1.0,1.0,1.0,58.0,2.0,1.0,6.0,3.0,1.0,423.0,,,,,,,1620.0,2115.0,6.0,1.0,  ,0.0,0.0,T105,46 a 60 años,1.0,125029  -1.0,4.17,855.1419,0
125029  ,1.0,2.0,2.0,55.0,2.0,1.0,2.0,3.0,1.0,423.0,,,,,,,270.0,2115.0,2.0,1.0,  ,0.0,0.0,T105,46 a 60 años,0.76,125029  -1.0,4.17,855.1419,0
125029  ,1.0,3.0,2.0,24.0,5.0,2.0,4.0,2.0,,423.0,3.0,,,2.0,,,,2115.0,4.0,1.0,  ,0.0,0.0,T105,18 a 29 años,0.76,125029  -1.0,4.17,855.1419,0
125029  ,1.0,3.0,1.0,26.0,5.0,2.0,5.0,2.0,,423.0,,,,3.0,,,,2115.0,7.0,2.0,04,0.0,0.0,T105,18 a 29 años,1.02,125029  -1.0,4.17,855.1419,0
125029  ,1.0,7.0,2.0,79.0,5.0,1.0,7.0,3.0,1.0,423.0,,,,,,,225.0,2115.0,0.0,0.0,  ,0.0,0.0,T105,más de 75 años,0.63,125029  -1.0,4.17,855.1419,0
125078  ,1.0,1.0,2.0,83.0,4.0,4.0,2.0,3.0,1.0,72.0,,,,,,,300.0,360.0,2.0,1.0,  ,0.0,0.0,T105,más de 75 años,0.63,125078  -1.0,3.68,754.6576,1
125078  ,1.0,3.0,2.0,50.0,3.0,4.0,2.0,3.0,4.0,72.0,,,,,,,,360.0,2.0,1.0,  ,0.0,0.0,T105,46 a 60 años,0.76,125078  -1.0,3.68,754.6576,1
125078  ,1.0,5.0,2.0,24.0,5.0,4.0,5.0,1.0,,72.0,3.0,1.0,1.0,,60.0,,,360.0,7.0,2.0,03,7.0,0.0,T105,18 a 29 años,0.76,125078  -1.0,3.68,754.6576,1
125078  ,1.0,5.0,2.0,22.0,5.0,4.0,5.0,3.0,3.0,72.0,,,,,,,,360.0,7.0,2.0,02,0.0,0.0,T105,18 a 29 años,0.76,125078  -1.0,3.68,754.6576,1
125078  ,1.0,5.0,2.0,15.0,5.0,4.0,3.0,3.0,3.0,72.0,,,,,,,,360.0,5.0,2.0,01,0.0,0.0,T105,15 años,0.77,125078  -1.0,3.68,754.6576,1
125415  ,1.0,1.0,1.0,47.0,2.0,1.0,4.0,1.0,,575.0,3.0,1.0,2.0,,1600.0,,,2300.0,4.0,1.0,  ,40.0,0.0,T105,46 a 60 años,1.0,125415  -1.0,3.29,674.6803,0
125415  ,1.0,2.0,2.0,47.0,2.0,1.0,6.0,1.0,,575.0,3.0,1.0,1.0,,700.0,,,2300.0,6.0,1.0,  ,25.0,0.0,T105,46 a 60 años,0.76,125415  -1.0,3.29,674.6803,0
125415  ,1.0,3.0,2.0,18.0,5.0,1.0,5.0,3.0,3.0,575.0,,,,,,,,2300.0,7.0,2.0,00,0.0,0.0,T105,18 a 29 años,0.76,125415  -1.0,3.29,674.6803,0
125415  ,1.0,3.0,2.0,15.0,5.0,1.0,3.0,3.0,3.0,575.0,,,,,,,,2300.0,5.0,2.0,01,0.0,0.0,T105,15 años,0.77,125415  -1.0,3.29,674.6803,0
125463  ,1.0,1.0,1.0,31.0,2.0,1.0,4.0,1.0,,246.0,3.0,1.0,2.0,,860.0,,370.0,1230.0,4.0,1.0,  ,45.0,0.0,T105,30 a 45 años,1.0,125463  -1.0,3.0700000000000003,629.5649000000001,0
125463  ,1.0,2.0,2.0,26.0,2.0,1.0,5.0,3.0,4.0,246.0,,,,,,,,1230.0,7.0,2.0,02,0.0,0.0,T105,18 a 29 años,0.76,125463  -1.0,3.0700000000000003,629.5649000000001,0
125463  ,1.0,3.0,2.0,6.0,5.0,1.0,1.0,4.0,3.0,246.0,,,,,,,,1230.0,3.0,2.0,01,0.0,0.0,T105,6 años,0.64,125463  -1.0,3.0700000000000003,629.5649000000001,0
125463  ,1.0,3.0,1.0,1.0,5.0,1.0,7.0,4.0,5.0,246.0,,,,,,,,1230.0,0.0,0.0,  ,0.0,0.0,T105,1 año,,125463  -1.0,3.0700000000000003,629.5649000000001,0
125463  ,1.0,6.0,2.0,65.0,4.0,1.0,1.0,3.0,7.0,246.0,,,,,,,,1230.0,2.0,2.0,02,0.0,0.0,T105,61 a 75 años,0.67,125463  -1.0,3.0700000000000003,629.5649000000001,0
126052  ,1.0,1.0,1.0,37.0,2.0,1.0,3.0,1.0,,740.0,3.0,1.0,2.0,,400.0,,,1480.0,4.0,2.0,02,60.0,0.0,T105,30 a 45 años,1.0,126052  -1.0,1.77,362.9739,0
126052  ,1.0,2.0,2.0,34.0,2.0,1.0,6.0,1.0,,740.0,3.0,2.0,2.0,,480.0,600.0,,1480.0,6.0,1.0,  ,25.0,20.0,T105,30 a 45 años,0.77,126052  -1.0,1.77,362.9739,0
